words,initial_forms
рсв,взнос
противоречие,расхождение
несоответствие,расхождение
отклонение,расхождение
расхождение,расхождение
разница,расхождение
неравный,расхождение
не равно,расхождение
не соответствовать,расхождение
отклоняться,расхождение
расходиться,расхождение
противоречить,расхождение
уменьшение,уменьшать
перечень,расшифровка
пояснение,расшифровка
список,расшифровка
обоснование,расшифровка
завышение,завышать
превышение,завышать
превышать,завышать
бухгалтерская отчетность,баланс
убыточная деятельность,убыток
внереализационый расход,внереализационыйрасход
внереализационый доход,внереализационыйдоход
налог на добавленную стоимость ,НДС
