rules,words,coeff,tag
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.98,14
include_and,нулевой,0.98,14
exclude_and,октмо,0.98,14
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.98,9
include_and,взнос,0.98,9
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.98,9
include_or,расхождение при этом,0.98,9
include_and,уменьшать,0.98,9
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.98,13
include_or,ранее расшифровка,0.98,13
exclude_or,показатель фиксированный,0.98,13
include_and,вычет,0.98,13
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.98,8
include_or,расшифровка высокий завышать,0.98,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.98,12
include_or,снижение ,0.98,12
include_or,уменьшение,0.98,12
include_and,по сравнению ранее ,0.98,12
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.98,5
include_and,прибыль,0.98,5
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.98,10
include_and,расхождение,0.98,10
include_and,обложение неподлежащая взнос,0.98,10
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.98,9
include_or,ндфл налогнадоход,0.98,9
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.98,9
include_and,расхождение,0.98,9
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,5
include_and,Декларация НДС,0.98,5
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,11
include_and,доходы от реализации по данным деклараций,0.98,11
include_or,снижение ,0.98,11
include_or,уменьшение,0.98,11
include_and,по сравнению ранее ,0.98,11
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,2
include_or,Новохуносорживетвниле 041,0.98,2
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,4
include_and,баланс,0.98,4
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,4
include_or,расхождение,0.98,4
include_and,форма2,0.98,4
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,6
include_and,убытки,0.98,6
exclude_or,амортизируемый амортизация отчет о прибылях и убытках,0.98,6
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,1
include_or,косвенные 040,0.98,1
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,3
include_and,расшифровка,0.98,3
include_and,внереализационный расход,0.98,3
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,15
include_and,расшифровка,0.98,15
include_and,внереализационный доход,0.98,15
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.98,7
include_and,расшифровка,0.98,7
include_and,задолженность ,0.98,7
include_and,безнадежная,0.98,7
